State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9661798622087765	0.01711664172100767	0.0012109442797969283	0.007752231115749594	0.0010278274017298495	1.1735026195836629E-4	5.009834246372134E-4	0.0	0.005816754394638627	2.7740519170530814E-4
2	0.03167826265640178	0.9375097717304769	0.029465256099885786	6.52279292992882E-4	7.79890050758372E-6	2.207111873807642E-4	1.3455730375481415E-4	0.0	0.0	3.31362828599538E-4
3	0.010876298657210345	0.14067964078121434	0.7660934212023734	0.012473293628755917	0.014603478492747105	0.05356920332451775	0.0012800445204788158	0.0	0.0	4.246193927022265E-4
4	0.02708979808260496	0.0011923658458193518	0.005141968253921848	0.6991623886323385	0.07099860792846255	8.411435406298245E-8	0.0027773180417961286	7.782574974900195E-4	0.18816888767643924	0.004690323926773159
5	0.00928948247242517	7.531866070230612E-5	0.014447391642487562	0.17200590361958026	0.7695150472777277	0.018090100421984515	0.0035756211474647155	0.0	0.011712506109655112	0.001288628647972829
6	0.0014485525944303854	0.0012418100840036173	0.066642370481847	4.315738539111186E-4	0.021590861288014494	0.8493605835391603	0.05693773312550906	0.0	0.0022948839320223887	5.1631101101657103E-5
7	0.007125900267003958	0.0010608813244154763	0.0023227467247909895	0.012113473203620906	0.005055159990781456	0.07610951877198527	0.7327318004448744	0.06538575230473087	0.09584665862577442	0.002248108342022222
8	0.0	3.3904883170910317E-6	0.0	4.5255071897688895E-4	0.0	0.0	0.011290912816371491	0.9318223558327532	0.055537474013490615	8.933161300907907E-4
9	6.54810937748791E-4	0.0	0.0	0.006027165619400008	1.8410974205453523E-4	2.6413108616409167E-5	7.989026062151689E-4	0.002540461037469606	0.9878529845674031	0.0019151523810924439
10	2.418653046844407E-4	1.8487551150933294E-4	5.037131298850285E-5	0.001344395756713695	1.3059174415250388E-4	9.784482663024462E-6	1.5410944107263193E-4	3.321201929902181E-4	0.016770012428334126	0.9807818738248913
